"특성별(1)",특성별(2),2024,2024
"특성별(1)",특성별(2),있다 (%),없다 (%)
"전체",소계,59.3,40.7
"성별",남자,65.1,34.9
"성별",여자,52.8,47.2
"연령별",만19세-24세,56.7,43.3
"연령별",만25세-29세,60.1,39.9
"연령별",만30세-34세,61.0,39.0
"지역구분별",수도권,58.8,41.2
"지역구분별",비수도권,59.9,40.1
"지역별",서울,61.7,38.3
"지역별",부산,57.6,42.4
"지역별",대구,54.7,45.3
"지역별",인천,58.7,41.3
"지역별",광주,69.8,30.2
"지역별",대전,61.0,39.0
"지역별",울산,55.9,44.1
"지역별",세종,61.6,38.4
"지역별",경기,56.4,43.6
"지역별",강원,61.9,38.1
"지역별",충북,58.5,41.5
"지역별",충남,58.1,41.9
"지역별",전북,64.1,35.9
"지역별",전남,58.8,41.2
"지역별",경북,62.2,37.8
"지역별",경남,59.3,40.7
"지역별",제주,61.0,39.0
"학력별",고졸 이하,52.4,47.6
"학력별",대학 재학·휴학,59.4,40.6
"학력별",대학 졸업 이상,61.2,38.8
